repo,risk_level,risk_score,priority,actions,recommended_execution
sdi-service,HIGH,70,P2,"Remover branch master | Aplicar proteção na main | Ajustar pipelines e padrões",AUTOMACAO_COM_VALIDACAO
avus-doodba-14,HIGH,70,P2,"Remover branch master | Aplicar proteção na main | Ajustar pipelines e padrões",AUTOMACAO_COM_VALIDACAO
k8s-deploy,HIGH,70,P2,"Remover branch master | Aplicar proteção na main | Ajustar pipelines e padrões",AUTOMACAO_COM_VALIDACAO
xipp-doodba-18,CRITICAL,120,P1,"Migrar master->main | Remover branch master | Aplicar proteção na main | Ajustar pipelines e padrões",AUTOMACAO_IMEDIATA
migration,MEDIUM,30,P3,"Remover branch master | Ajustar pipelines e padrões",PLANEJADO
auth-service,HIGH,70,P2,"Remover branch master | Aplicar proteção na main | Ajustar pipelines e padrões",AUTOMACAO_COM_VALIDACAO
odoo-service,MEDIUM,30,P3,"Remover branch master | Ajustar pipelines e padrões",PLANEJADO
survey-service,HIGH,70,P2,"Remover branch master | Aplicar proteção na main | Ajustar pipelines e padrões",AUTOMACAO_COM_VALIDACAO
security-service,HIGH,70,P2,"Remover branch master | Aplicar proteção na main | Ajustar pipelines e padrões",AUTOMACAO_COM_VALIDACAO
contract-service,MEDIUM,30,P3,"Remover branch master | Ajustar pipelines e padrões",PLANEJADO
euprotegido-service,MEDIUM,30,P3,"Remover branch master | Ajustar pipelines e padrões",PLANEJADO
socialnetwork-service,HIGH,70,P2,"Remover branch master | Aplicar proteção na main | Ajustar pipelines e padrões",AUTOMACAO_COM_VALIDACAO
rh-bff-service,MEDIUM,30,P3,"Remover branch master | Ajustar pipelines e padrões",PLANEJADO
commons-security-xipp,HIGH,70,P2,"Remover branch master | Aplicar proteção na main | Ajustar pipelines e padrões",AUTOMACAO_COM_VALIDACAO
commons-xipp,MEDIUM,30,P3,"Remover branch master | Ajustar pipelines e padrões",PLANEJADO
sdi-frontend,MEDIUM,30,P3,"Remover branch master | Ajustar pipelines e padrões",PLANEJADO
mis-builder,CRITICAL,120,P1,"Migrar master->main | Remover branch master | Aplicar proteção na main | Ajustar pipelines e padrões",AUTOMACAO_IMEDIATA
reporting-engine,CRITICAL,120,P1,"Migrar master->main | Remover branch master | Aplicar proteção na main | Ajustar pipelines e padrões",AUTOMACAO_IMEDIATA
xipp-doodba-14,HIGH,70,P2,"Remover branch master | Aplicar proteção na main | Ajustar pipelines e padrões",AUTOMACAO_COM_VALIDACAO
nifi-registry-bkp,HIGH,70,P2,"Remover branch master | Aplicar proteção na main | Ajustar pipelines e padrões",AUTOMACAO_COM_VALIDACAO
euprotegido,HIGH,70,P2,"Remover branch master | Aplicar proteção na main | Ajustar pipelines e padrões",AUTOMACAO_COM_VALIDACAO
l10n-brazil,CRITICAL,120,P1,"Migrar master->main | Remover branch master | Aplicar proteção na main | Ajustar pipelines e padrões",AUTOMACAO_IMEDIATA
rules-service,MEDIUM,30,P3,"Remover branch master | Ajustar pipelines e padrões",PLANEJADO
avus-k8s-deploy,HIGH,70,P2,"Remover branch master | Aplicar proteção na main | Ajustar pipelines e padrões",AUTOMACAO_COM_VALIDACAO
insurance-carrier-api,MEDIUM,30,P3,"Remover branch master | Ajustar pipelines e padrões",PLANEJADO
ee-addons,CRITICAL,120,P1,"Migrar master->main | Remover branch master | Aplicar proteção na main | Ajustar pipelines e padrões",AUTOMACAO_IMEDIATA
xipp-odoo-addons,CRITICAL,120,P1,"Migrar master->main | Remover branch master | Aplicar proteção na main | Ajustar pipelines e padrões",AUTOMACAO_IMEDIATA
drive-service,HIGH,70,P2,"Remover branch master | Aplicar proteção na main | Ajustar pipelines e padrões",AUTOMACAO_COM_VALIDACAO
report-service,HIGH,70,P2,"Remover branch master | Aplicar proteção na main | Ajustar pipelines e padrões",AUTOMACAO_COM_VALIDACAO
payment-service,MEDIUM,30,P3,"Remover branch master | Ajustar pipelines e padrões",PLANEJADO
analytics-service,HIGH,70,P2,"Remover branch master | Aplicar proteção na main | Ajustar pipelines e padrões",AUTOMACAO_COM_VALIDACAO
healthcare-service,HIGH,70,P2,"Remover branch master | Aplicar proteção na main | Ajustar pipelines e padrões",AUTOMACAO_COM_VALIDACAO
